country,iso3,lat,lon,continent
Indonesia,IDN,-2.2292413417646695,117.23915825109509,Asia
Malaysia,MYS,3.7961557818966094,109.71049619843322,Asia
Chile,CHL,-40.09172855378,-71.46563798693074,South America
Bolivia,BOL,-16.77281151748127,-64.67499772281374,South America
Peru,PER,-9.239475842412407,-74.35997161430507,South America
Argentina,ARG,-36.61622399680455,-65.41604388462032,South America
Dhekelia,-99,35.03298822286583,33.78924426177377,Asia
Cyprus,CYP,34.911343888455725,33.006764117800486,Asia
India,IND,23.21835368668424,79.62215301260814,Asia
China,CHN,37.58920919402705,104.16093786220303,Asia
Israel,ISR,31.467514566756556,34.996146759406614,Asia
Palestine,PSE,31.91336873969629,35.20251394934415,Asia
Lebanon,LBN,33.91798345679923,35.87169231059699,Asia
Ethiopia,ETH,8.64949812965708,39.59652201771371,Africa
S. Sudan,SSD,7.292451490613854,30.30127862792737,Africa
Somalia,SOM,4.779971726158638,45.72540392141728,Africa
Kenya,KEN,0.5487354644111414,37.82047121605113,Africa
Malawi,MWI,-13.245640255737007,34.296222334075985,Africa
Tanzania,TZA,-6.293404391344602,34.81611554352228,Africa
Syria,SYR,35.044883902861756,38.51462444457756,Asia
Somaliland,-99,9.732121722322205,46.250740058381716,Africa
France,-99,44.1863160581146,-1.1944844705685391,Europe
Suriname,SUR,4.138344934573078,-55.91512006530395,South America
Guyana,GUY,4.798561881028659,-58.98141026015624,South America
South Korea,KOR,36.40470668335901,127.83505945883826,Asia
North Korea,PRK,40.18529654316978,127.20952776414309,Asia
Morocco,MAR,30.040078424934265,-8.270629610516167,Africa
W. Sahara,ESH,24.27511254880064,-12.189638887786678,Africa
Costa Rica,CRI,9.976575844533768,-84.19332934090261,North America
Nicaragua,NIC,12.850483763406825,-85.0267764403184,North America
Congo,COG,-0.8397441533817911,15.22100276716363,Africa
Dem. Rep. Congo,COD,-2.9056309339839843,23.651225578917686,Africa
Bhutan,BTN,27.426331256182504,90.40541174502704,Asia
Ukraine,UKR,49.22427997587045,31.227713675381473,Europe
Belarus,BLR,53.579067589869794,28.041272560600415,Europe
Namibia,NAM,-22.249539456156914,17.217443328612795,Africa
South Africa,ZAF,-29.126685605185674,25.03111078495205,Africa
St-Martin,MAF,18.077111383288514,-63.05771978786011,North America
Sint Maarten,SXM,18.042619977239177,-63.06703347109605,North America
Oman,OMN,20.645158198923767,56.108442799620875,Asia
Uzbekistan,UZB,41.83603729933359,63.05535230794847,Asia
Kazakhstan,KAZ,48.43847112861004,67.32618073375104,Asia
Tajikistan,TJK,38.54197639199907,71.00586218541542,Asia
Lithuania,LTU,55.33816909479245,23.888937577989555,Europe
Brazil,BRA,-11.185425271203762,-53.03115557203703,South America
Uruguay,URY,-32.82785134117605,-56.012218142103265,South America
Mongolia,MNG,46.96178325103522,103.02004225607895,Asia
Russia,RUS,64.80508978893856,97.82630667637494,Europe
Czechia,CZE,49.74189210202256,15.29990280773533,Europe
Germany,DEU,51.213370314768,10.395558663234773,Europe
Estonia,EST,58.680837500610764,25.52895854812578,Europe
Latvia,LVA,56.866777465328866,24.89244964088854,Europe
Norway,-99,73.3067293825923,16.76685356560883,Europe
Sweden,SWE,63.40864256736685,16.997490865533912,Europe
Finland,FIN,64.90762165402356,26.318745066255524,Europe
Vietnam,VNM,16.79979650980123,106.28295252058828,Asia
Cambodia,KHM,12.725875291659467,104.903612713362,Asia
Luxembourg,LUX,49.75778101292138,6.083062239311146,Europe
United Arab Emirates,ARE,23.917261501099258,54.30665685602426,Asia
Belgium,BEL,50.64100570491376,4.643782243597773,Europe
Georgia,GEO,42.17661734508173,43.4842382386386,Asia
North Macedonia,MKD,41.59999685231673,21.683972652374475,Europe
Albania,ALB,41.14464293568547,20.05015505069859,Europe
Azerbaijan,AZE,40.30370242041687,47.54330664640182,Asia
Kosovo,-99,42.57174293833937,20.859095888595064,Europe
Turkey,TUR,39.10207380973472,35.164048532060114,Asia
Spain,ESP,40.340590429181034,-3.6190710546282125,Europe
Laos,LAO,18.538802360321203,103.71898965381494,Asia
Kyrgyzstan,KGZ,41.48075448241152,74.54309272729283,Asia
Armenia,ARM,40.29802915088959,44.92514304260117,Asia
Denmark,DNK,55.994834993307876,10.030790062769533,Europe
Libya,LBY,27.1590959872366,17.97916289631964,Africa
Tunisia,TUN,34.17897262394106,9.553859261856587,Africa
Romania,ROU,45.886894738984275,24.970984319549114,Europe
Hungary,HUN,47.17180301457537,19.404556399893163,Europe
Slovakia,SVK,48.70988894527119,19.486577427951197,Europe
Poland,POL,52.18576698105674,19.387488598765906,Europe
Ireland,IRL,53.19873521002335,-8.129189441643014,Europe
United Kingdom,GBR,54.31682809477313,-2.917551222474765,Europe
Greece,GRC,39.1195368527574,22.95624638243763,Europe
Zambia,ZMB,-13.490669076345695,27.759015829774384,Africa
Sierra Leone,SLE,8.566376791550386,-11.784359179733556,Africa
Guinea,GIN,10.443949715068477,-10.94349313090557,Africa
Liberia,LBR,6.452823583869277,-9.321419573381386,Africa
Central African Rep.,CAF,6.57688249388245,20.476107665970904,Africa
Sudan,SDN,16.064591028447783,29.954085870283507,Africa
Djibouti,DJI,11.755229501390177,42.56365728234579,Africa
Eritrea,ERI,15.363941399180302,38.84519533518735,Africa
Austria,AUT,47.59281246433689,14.127435534686134,Europe
Iraq,IRQ,33.11628392077188,43.72404071178509,Asia
Italy,ITA,42.953481174342784,12.01190341853236,Europe
Switzerland,CHE,46.80172961015246,8.209125908148627,Europe
Iran,IRN,32.763019655591165,54.19700722940686,Asia
Netherlands,NLD,52.19164137020605,5.380391630558225,Europe
