country,production_tonnes,iso3,lat,lon,continent,region,production_normalized
Brazil,3387724.0,BRA,-11.185425271203762,-53.03115557203703,South America,Americas,1.0
Colombia,839846.7,COL,3.9398182235557964,-73.08815301242984,South America,Americas,0.2479088320063854
Costa Rica,62153.98,CRI,9.976575844533768,-84.19332934090261,North America,Americas,0.018346825184105908
El Salvador,28487.64,SLV,13.736307568232224,-88.87389851209613,North America,Americas,0.00840907937010217
Ethiopia,575696.2,ETH,8.64949812965708,39.59652201771371,Africa,Africa,0.16993598061707504
Guatemala,224860.0,GTM,15.70170156920176,-90.36388859140543,North America,Americas,0.06637494671939036
Honduras,324015.03,HND,14.823741821635672,-86.62826297203577,North America,Americas,0.09564386886298884
Indonesia,807578.0,IDN,-2.2292413417646695,117.23915825109509,Asia,Asia-Pacific,0.23838364636552448
Kenya,49500.0,KEN,0.5487354644111414,37.82047121605113,Africa,Africa,0.014611579927998858
Laos,174900.0,LAO,18.538802360321203,103.71898965381494,Asia,Asia-Pacific,0.051627582412262625
Madagascar,49561.4,MDG,-19.47147825069668,46.68843987270034,Africa,Africa,0.014629704190778234
Mexico,194470.0,MEX,24.190418809338937,-102.70976550598311,North America,Americas,0.05740432219389773
Myanmar,8903.66,MMR,21.310644189529366,96.4891898204071,Asia,Asia-Pacific,0.002628212924075279
Panama,6318.02,PAN,8.519172594197038,-80.11951924670002,North America,Americas,0.001864974832660512
Peru,358993.78,PER,-9.239475842412407,-74.35997161430507,South America,Americas,0.10596901636615026
Taiwan,951.29,TWN,23.759935735934622,120.96050212257825,Asia,Asia-Pacific,0.00028080504787284915
Thailand,16623.48,THA,15.18508809461059,101.00410761213985,Asia,Asia-Pacific,0.004906975892959403
Uganda,402000.0,UGA,1.275648903071026,32.36738583721334,Africa,Africa,0.11866374002132406
Vietnam,2015289.0,VNM,16.79979650980123,106.28295252058828,Asia,Asia-Pacific,0.5948799252831695
